Concurso,Data Sorteio,1º Prêmio,2º Prêmio,3º Prêmio,4º Prêmio,5º Prêmio
00218,02/12/1964,12038,01577,16321,37260,04971
00219,05/12/1964,26269,26129,24529,37166,15264
00220,09/12/1964,06020,36501,26793,07551,29339
00221,12/12/1964,39667,11077,24781,07838,35913
00222,16/12/1964,33991,21644,01275,07349,35302
00223,19/12/1964,19045,24450,09462,24518,21945
00224,23/12/1964,01501,04258,11380,25131,24479
00225,26/12/1964,28195,05382,31030,25792,38201
00226,30/12/1964,09915,20458,36633,34001,31236
00227,06/01/1965,02585,20095,22795,08453,21575
00228,09/01/1965,14796,26001,15202,26865,19599
00229,13/01/1965,02088,26447,02247,14194,10431
00230,16/01/1965,07542,18235,29734,15862,02910
00231,23/01/1965,27757,18769,16655,20552,25699
00232,27/01/1965,04944,08064,02462,16932,24134
00233,30/01/1965,15202,18388,09595,01907,25706
00234,03/02/1965,04878,20053,13071,03495,14694
00235,06/02/1965,02116,27022,19092,16538,05313
00236,10/02/1965,24577,25726,02261,05451,01026
00237,13/02/1965,00310,25154,04344,28729,25704
00238,17/02/1965,28791,07075,16812,24459,06883
00239,20/02/1965,14352,29339,18491,01900,14945
00240,24/02/1965,12905,00326,27883,04454,04389
00241,27/02/1965,04615,08478,26871,19252,00270
00242,06/03/1965,05487,04235,22244,15330,08345
00243,10/03/1965,15591,26643,06451,01766,04238
00244,13/03/1965,10438,19183,07356,19473,12023
00245,17/03/1965,27292,00952,21667,02122,16847
00246,20/03/1965,07632,18369,04434,28835,15523
00247,24/03/1965,12554,26967,25798,01560,22655
00248,27/03/1965,20239,17331,02619,07206,01270
00249,31/03/1965,02110,29630,01834,27855,24421
00250,03/04/1965,24303,07771,28264,19872,13560
00251,07/04/1965,09369,13181,23060,27751,18960
00252,10/04/1965,22178,26683,00700,29761,18705
00253,14/04/1965,04294,08123,20894,19341,25832
00254,17/04/1965,26357,20478,26899,11295,10168
00255,24/04/1965,29611,02845,28269,15782,15995
00256,28/04/1965,32128,26251,05771,06228,08560
00257,05/05/1965,08608,12753,32428,36671,24077
00258,08/05/1965,28321,25938,13540,38293,27190
00259,12/05/1965,06982,06947,38965,06807,02831
00260,15/05/1965,11818,28312,03233,16330,31226
00261,19/05/1965,05100,02928,04675,11596,00027
00262,22/05/1965,08740,21409,28468,22679,36781
00263,26/05/1965,22408,34362,10698,12984,32964
00264,29/05/1965,26178,16075,32929,26179,35337
00265,02/06/1965,03736,07359,23119,34217,01534
00266,05/06/1965,02678,03552,08538,20545,29412
00267,09/06/1965,38143,00404,08212,19141,24572
00268,12/06/1965,38506,01470,34715,09122,09261
00269,16/06/1965,30455,04805,08523,01644,11902
00270,19/06/1965,14313,32115,19587,34222,23431
00271,23/06/1965,18782,05032,18994,04968,03394
00272,26/06/1965,31677,38725,16900,01183,03842
00273,30/06/1965,34704,08949,17301,19005,18555
00274,03/07/1965,26961,09512,08163,39675,27143
00275,07/07/1965,06806,11567,04121,05062,39234
00276,10/07/1965,29609,03913,00030,15966,31666
00277,14/07/1965,23704,39124,02260,14424,09835
00278,17/07/1965,16561,25569,17799,30808,19884
00279,21/07/1965,05882,10514,27473,12564,29409
00280,24/07/1965,14953,12627,10691,36935,30821
00281,28/07/1965,35981,28542,35587,34481,15807
00282,31/07/1965,25166,19210,26721,20478,27251
00283,04/08/1965,07639,11049,30500,39794,39383
00284,07/08/1965,30762,22676,31853,33954,18982
00285,11/08/1965,16380,02543,02212,05981,31234
00286,14/08/1965,06219,34623,12284,02354,30882
00287,18/08/1965,32261,08648,07110,09963,22593
00288,21/08/1965,34907,11530,14505,00846,34209
00289,25/08/1965,00752,15134,19935,07507,39377
00290,28/08/1965,36700,05439,03529,06651,00856
00291,01/09/1965,36429,06356,09203,09505,07075
00292,04/09/1965,14554,23755,26483,13723,17824
00293,08/09/1965,10880,39398,06985,35406,29139
00294,11/09/1965,33384,38667,01943,08287,38790
00295,15/09/1965,19508,16425,35902,04242,35515
00296,18/09/1965,26148,37238,00630,38086,37597
00297,22/09/1965,24707,27682,07919,24821,07213
00298,25/09/1965,32372,35183,15656,26791,28664
00299,29/09/1965,07392,01706,32677,15855,09829
00300,02/10/1965,07882,26026,09994,06903,13720
00301,06/10/1965,34624,37475,04183,12229,18683
00302,09/10/1965,23826,13590,25686,27313,39321
00303,13/10/1965,04731,21473,07614,31544,22521
00304,16/10/1965,38158,00284,29254,10078,31778
00305,20/10/1965,27420,08610,34377,32123,16763
00306,23/10/1965,22801,00945,13126,17787,30182
00307,27/10/1965,00739,11244,31421,00846,33760
00308,30/10/1965,10542,37082,21155,34071,20482
00309,03/11/1965,24084,02579,05162,18574,38427
00310,06/11/1965,28003,10045,06581,10749,16257
00311,10/11/1965,28756,30613,25485,25094,37060
00312,13/11/1965,17760,34633,38532,26889,02053
00313,17/11/1965,33530,04206,03778,27276,30708
00314,20/11/1965,30907,30824,18501,32382,09264
00315,24/11/1965,37297,17604,04821,30799,31447
00316,27/11/1965,04248,38128,24240,29055,08198
00317,01/12/1965,07024,03772,04119,05253,19149
00318,04/12/1965,28077,19149,10799,39617,36469
00319,08/12/1965,26050,36376,39236,01629,22430
00320,11/12/1965,16689,26425,39551,15324,26619
00321,15/12/1965,05100,03276,37500,29527,10577
00322,18/12/1965,32109,03176,06945,05992,27930
00323,22/12/1965,00784,05326,16521,14724,17418
00324,29/12/1965,11945,13404,20344,36572,31813
00325,05/01/1966,05273,13066,04163,32763,28391
00326,08/01/1966,36800,32662,02756,35752,01131
00327,12/01/1966,09276,13660,24098,09509,05189
00328,15/01/1966,26920,22065,34824,11641,18380
00329,19/01/1966,18997,36916,21716,36740,33108
00330,22/01/1966,31499,30152,25015,18934,37195
00331,26/01/1966,08418,12977,15738,04134,27804
00332,29/01/1966,10603,20134,16268,20427,01514
00333,02/02/1966,13010,16046,38243,17159,03400
00334,05/02/1966,16842,05221,16051,12843,35342
00335,09/02/1966,05450,31816,19344,27641,08428
00336,12/02/1966,25199,37737,17686,20330,33017
00337,16/02/1966,34662,00676,12588,05575,16026
00338,19/02/1966,37140,23968,25050,04786,23158
00339,26/02/1966,29147,20388,16561,01615,21264
00340,02/03/1966,09660,04319,08631,36154,11914
00341,05/03/1966,37686,31601,30383,08330,04169
00342,09/03/1966,13521,13351,29278,26949,07051
00343,12/03/1966,19868,18848,21385,19580,19900
00344,16/03/1966,03172,20568,26709,37996,07993
00345,19/03/1966,16245,27575,33483,12302,11464
00346,23/03/1966,02618,08020,23029,17645,01620
00347,26/03/1966,27597,12669,33855,11854,33533
00348,30/03/1966,26576,25092,25291,06051,01841
